DOI,publication_date,total_size_kb,num_files,bash,stata,julia,python,R,C,C++,Matlab,fortran,SAS,Java,SPSS,Mathematica,PHP,Scilab
10.7910/DVN/SDUGCC,2015-08-04,10034.65,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/ZXZMJB,2015-07-31,1186207.56,26,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/4FCVUR,2015-07-29,29675.97,133,0,36,0,0,10,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/SPXP04,2015-07-14,268.83,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/GKASQ5,2015-07-09,718.47,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29405,2015-07-06,3696.27,38,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/UPSRNO,2015-06-16,826.17,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/9OOLQ7,2015-06-09,4621.95,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/9TPNOT,2015-06-09,393.09,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/RIOEAY,2015-06-04,210295.09,20,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/ALZVAW,2015-05-29,80129.84,24,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/UJN9C3,2015-05-29,119825.87,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10.7910/DVN/KAQVNP,2015-05-28,595.78,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/IYZWUD,2015-05-22,4664.82,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29911,2015-04-06,826713.75,37,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/MIXK94,2015-05-14,1608.63,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/UMIBSL,2015-05-14,832.39,10,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/193ZDD,2015-05-13,610.4,21,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/MJSMJB,2015-05-12,431.83,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/MWNBXO,2015-05-12,413.73,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/WCH6ZH,2015-04-21,139.6,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/CJMKGX,2015-05-11,1483.32,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/5HEB4I,2015-05-07,234.34,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/RPD7KA,2015-05-06,17449.97,22,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/AXI6U1,2015-05-06,19102.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/2EJIZJ,2015-04-21,1094.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/22976,2013-11-08,1050.56,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN1/22651,2013-11-08,15534.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/UJYLT0,2012-10-29,110.49,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/PZAOO6,2012-07-27,9604.92,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/OO8ZCC,2012-10-29,943.51,6,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
10.7910/DVN/OMESOW,2012-05-30,1102.2,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/NMJAFC,2012-07-27,149.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/GMZM4D,2012-07-27,80.39,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/E5ZSZR,2012-06-28,226.65,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/UYGSCI,2012-07-27,39.38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/WDA163,2012-10-29,1325.74,7,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/PWRN9K,2012-10-29,557.53,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/HUZNE2,2012-07-27,52227.91,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/NY6NSO,2012-06-15,377.05,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/OASXGA,2012-07-27,1188.83,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/T1WGWG,2012-10-29,47036.7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/Y6I5ZI,2012-10-29,507.03,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/0AQGPL,2012-07-27,248.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/AMMI3S,2013-02-12,1214.03,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/PYKLCA,2012-10-29,89708.6,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/XA5DRD,2012-10-29,6380.41,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/VVCBHZ,2012-10-29,12.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/SQNMPH,2012-10-29,908.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/SRLERE,2013-02-12,301.57,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/PBAW0O,2012-10-29,15.13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/NVYIS9,2012-10-29,1545.92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/AARL5V,2012-10-29,1470.42,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/UA9G8U,2013-02-12,58437.71,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/KCPBUO,2012-10-29,8539.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/QQ69RH,2012-10-29,666.18,8,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/CV40VF,2013-02-12,871.26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/ZMG1IQ,2013-06-11,278.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/QJD1OW,2013-05-06,174202.83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/HBPR8R,2013-02-12,1488.01,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
10.7910/DVN/K9ARGB,2013-05-06,285.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/ASBWSA,2013-04-15,263.97,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10.7910/DVN/DYJVD4,2013-04-15,200.01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/UQLKRY,2013-07-29,1310467.02,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/HZAXXB,2013-07-29,4751.71,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/HZAG9F,2013-02-12,27.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/6EBCGA,2013-06-11,661.52,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/AHMMUA,2013-04-15,6.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/96KNLB,2013-04-15,20844.68,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/NAY8YW,2013-02-12,6413.36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/TLT65Z,2013-02-12,14235.24,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/DMIDY8,2013-06-11,461.71,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/1YK9ON,2013-05-06,1225.46,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/ZSDJGT,2013-02-12,256.68,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/6TFUSP,2013-07-29,3282.69,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/KKTXVB,2013-04-15,163.93,10,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/AZTWDW,2013-04-15,112.86,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/FREK34,2013-04-15,53.12,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/FERDAN,2013-05-06,24932.03,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/H6CUHY,2013-06-11,760.44,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/FKNFJJ,2013-04-15,321.59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/DDTCED,2013-02-12,14102.85,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/E9S0VN,2013-06-11,291.45,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/DPVRA5,2013-06-11,6377.78,18,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0
10.7910/DVN/TW5FHR,2013-08-27,6250.42,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/WO5H2S,2013-11-08,128.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/UDUJEI,2013-08-27,1224.51,14,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/0HHML7,2013-12-31,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/FHOJ3L,2013-08-27,41976.53,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/CNNXPB,2013-07-29,519.04,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/NMA2WY,2013-09-06,14721.36,14,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/DVP0UW,2013-08-27,656.73,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/JCGCT5,2013-07-29,137.03,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/LUBZFJ,2013-07-29,4753.59,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/XS1SDX,2013-08-27,188.03,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/VWBP3L,2013-09-06,2777.79,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/5CVUVU,2013-08-27,1068.02,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/LVOSAF,2013-08-27,354.61,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/DG6BS4,2013-08-27,335.7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/HWW8DP,2013-07-29,2780.43,23,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/INOLBS,2013-07-29,2078.52,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/WZR4UH,2013-08-27,271.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/NUACCP,2013-08-27,155.53,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/R3KIIF,2013-11-08,77.27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
10.7910/DVN/SZK4NF,2013-07-29,3266.54,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27584,2014-10-20,6116.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27371,2014-09-29,3525.81,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27241,2014-09-03,188.79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27597,2014-10-15,131419.27,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27662,2014-10-22,412.5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27682,2014-10-23,9646.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27718,2014-11-03,244594.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27293,2014-09-08,26.47,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27217,2014-09-03,68613.11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27512,2014-10-13,7933.59,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27631,2014-10-20,414.44,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27466,2015-01-27,33458.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27325,2014-09-12,1244.79,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27624,2014-10-20,48612.3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27499,2014-10-03,423.99,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27701,2014-10-27,553.26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26943,2014-08-07,66.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26936,2014-08-04,2234.63,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27063,2014-08-19,3809.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27113,2014-08-19,1471.77,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26783,2014-07-21,24.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26867,2014-07-31,47.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26721,2014-07-16,43342.3,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26662,2014-07-11,2923.96,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26714,2014-07-28,4461.29,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26467,2014-06-10,8200.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26522,2014-06-14,146.39,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26570,2014-06-24,5035.12,44,0,2,0,0,30,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26490,2014-06-11,145.38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26638,2014-07-02,602267.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26642,2014-07-08,264.58,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/25615,2014-05-02,4815.17,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/25707,2014-06-18,753.9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/25540,2014-06-24,102.19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26461,2014-06-11,83.47,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26516,2014-06-14,4208.54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26586,2014-06-25,49.47,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26457,2014-06-10,143.03,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26555,2014-06-23,163.66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26612,2014-06-29,205059.32,34,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/23302,2013-11-12,581.06,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/23063,2013-12-31,19695.37,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24714,2014-02-24,59.58,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24507,2014-01-27,49.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24506,2014-02-24,618.32,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24827,2014-03-18,54.89,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/23958,2013-12-31,268.77,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/25505,2014-04-15,1982.55,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24789,2014-03-18,95.23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24975,2014-03-18,59.09,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/23818,2013-12-31,2278.67,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24914,2014-03-18,2628.38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24387,2014-01-27,138.57,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24800,2014-03-18,806.34,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24128,2014-02-24,199.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/25302,2014-03-31,3588.07,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24591,2014-02-24,60.05,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24220,2014-01-27,202122.2,63,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24724,2014-02-24,3743.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24859,2014-03-18,17.18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/23851,2013-12-31,14790.52,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24707,2014-02-24,87.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/22892,2013-11-11,59.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24937,2014-03-18,21460.64,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/23972,2013-12-31,22.86,4,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0
10.7910/DVN/25531,2014-06-24,44.23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/25423,2014-04-17,62653.33,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/O7DDIN,2012-05-30,360.44,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/23454,2013-12-06,360.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24742,2014-02-24,411.18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26544,2014-06-19,4149.07,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24797,2014-03-18,47.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/XDUWWY,2013-09-05,33607.35,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29375,2015-03-17,14472.36,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29243,2015-03-04,436.57,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/28856,2015-03-02,1705486.62,33,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29242,2015-02-26,14.12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29129,2015-02-15,63.2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29080,2015-02-12,4594.98,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29098,2015-02-11,2668.16,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/28870,2015-02-06,371.29,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/28750,2015-02-03,2742.06,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/28640,2015-01-19,17704.82,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/28582,2015-01-06,3.94,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27191,2014-08-26,395.77,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/25582,2014-04-24,1470.98,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/OIHHPE,2012-04-04,2327.26,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/EWG77Q,2013-08-26,542004.11,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
